Date,Close/Last,Volume,Open,High,Low
09/22/2025,104.72,40527290,102.42,105.0757,102.42
09/19/2025,102.98,42182690,101.88,103.29,101.15
09/18/2025,100.98,61700780,100.76,102.37,99.79
09/17/2025,98.33,73848570,98.89,99.20,95.511
09/16/2025,98.96,38568570,99.67,99.81,98.61
09/15/2025,99.23,39057180,97.64,99.27,97.565
09/12/2025,96.76,46117620,95.96,97.3699,95.525
09/11/2025,95.57,45623570,95.19,95.98,94.41
09/10/2025,93.99,60409410,95.45,95.46,92.94
09/09/2025,93.89,47310370,93.50,94.11,92.2435
09/08/2025,93.13,50848370,92.91,94.0951,92.64
09/05/2025,91.82,86312870,93.94,94.24,89.6872
09/04/2025,91.52,50879840,89.40,91.6646,88.615
09/03/2025,89.11,59964900,88.73,89.875,87.5899
09/02/2025,87.08,83334040,85.11,87.24,84.25
08/29/2025,89.36,60943500,91.415,91.59,88.49
08/28/2025,92.70,45329000,91.28,93.11,90.51
08/27/2025,91.04,45027590,90.14,91.44,89.54
08/26/2025,90.63,42187300,89.31,90.77,88.835
08/25/2025,89.59,40226280,89.62,90.98,89.03
08/22/2025,90.38,66363240,87.02,91.32,86.37
08/21/2025,86.49,59959970,86.95,87.95,85.39
08/20/2025,87.71,82202130,88.83,88.89,84.38
08/19/2025,89.34,55559320,92.77,92.86,88.8238
08/18/2025,93.14,36685680,92.80,93.455,92.23
08/15/2025,93.26,48083700,94.47,94.51,92.4194
08/14/2025,94.60,53192880,93.84,95.5878,93.64
08/13/2025,94.86,48029260,96.05,96.32,94.175
08/12/2025,94.72,60138980,92.42,94.8899,91.13
08/11/2025,91.35,47308500,92.23,93.24,90.715
08/08/2025,92.16,52261340,90.24,92.28,90.1012
08/07/2025,89.74,84619570,90.89,91.67,87.815
08/06/2025,88.84,64497630,86.03,89.0655,85.81
08/05/2025,85.64,76044160,88.05,88.61,85.42
08/04/2025,87.46,54292970,85.22,87.5699,85.16
08/01/2025,82.92,109890600,85.25,85.32,81.86
07/31/2025,88.21,89437330,92.71,92.75,87.66
07/30/2025,89.69,72763810,89.74,90.88,88.26
07/29/2025,89.38,58125580,90.99,91.625,88.98
07/28/2025,89.785,47795990,89.59,90.19,89.18
07/25/2025,88.92,39501590,88.31,89.58,87.98
07/24/2025,88.42,45189140,88.45,88.96,87.60
07/23/2025,87.84,59012620,87.18,87.88,85.90
07/22/2025,86.70,54172640,88.13,88.16,85.465
07/21/2025,88.07,43860150,87.15,88.98,87.12
07/18/2025,86.75,49248130,87.64,87.74,86.19
07/17/2025,87.05,48665430,85.37,87.32,85.00
07/16/2025,85.07,83178820,85.06,85.35,82.44
07/15/2025,84.83,61628770,86.43,86.67,84.80
07/14/2025,84.61,48655740,83.63,84.9352,82.55
07/11/2025,83.72,53468790,83.315,84.45,82.75
07/10/2025,84.36,55158890,85.03,85.22,83.14
07/09/2025,84.75,58988130,83.97,85.385,83.35
07/08/2025,83.03,57757710,83.48,83.775,82.47
07/07/2025,82.92,69837380,83.60,83.97,81.80
07/03/2025,84.81,41742300,83.49,85.29,83.49
07/02/2025,82.50,50142530,80.46,82.59,80.43
07/01/2025,80.89,70194970,82.12,82.54,79.81
06/30/2025,83.00,56860730,82.80,83.49,81.83
06/27/2025,81.42,73011780,81.0303,82.25,79.8529
06/26/2025,80.63,50072090,79.42,80.85,78.6207
06/25/2025,78.48,50719070,78.88,79.42,77.72
06/24/2025,78.10,56595750,76.91,78.51,76.655
06/23/2025,74.70,83786360,72.73,74.93,71.42
06/20/2025,72.45,81677450,74.76,75.3298,71.715
06/18/2025,73.46,71330710,73.92,74.96,72.84
06/17/2025,73.56,67709090,74.68,75.38,73.08
06/16/2025,75.80,58334340,74.22,76.2499,74.22
06/13/2025,72.83,105333100,73.10,74.885,72.27
06/12/2025,75.69,63055010,74.60,76.1293,74.52
06/11/2025,75.20,90825990,76.59,77.075,74.22
06/10/2025,75.98,61346480,74.71,76.285,73.76
06/09/2025,74.54,50181890,74.31,75.24,73.84
